0	0	0
0.2	0.2	0.421655902
0.4	0.4	0.820728714
0.6	0.6	1.129245052
0.8	0.8	1.336409636
1	1	1.491295496
1.2	1.2	1.684759321
1.4	1.4	2.016936979
1.6	1.6	2.561704497
1.8	1.8	3.340541572
2	2	4.314940964
2.2	2.2	5.400018884
2.4	2.4	6.494565522
2.6	2.6	7.517022359
2.8	2.8	8.434793529
3	3	9.276619247
3.2	3.2	10.12364954
3.4	3.4	11.08229211
3.6	3.6	12.24827166
3.8	3.8	13.67440679
4	4	15.35331229
4.2	4.2	17.22102364
4.4	4.4	19.18023572
4.6	4.6	21.13500233
4.8	4.8	23.02474658
5	5	24.84568178
5.2	5.2	26.6521495
5.4	5.4	28.53740676
5.6	5.6	30.60058316
5.8	5.8	32.91136922
6	6	35.48479863
6.2	6.2	38.27496847
6.4	6.4	41.18993207
6.6	6.6	44.12260755
6.8	6.8	46.98695313
7	7	49.74682112
7.2	7.2	52.42745918
7.4	7.4	55.10568584
7.6	7.6	57.88221246
7.8	7.8	60.84581389
8	8	64.04188994
8.2	8.2	67.45641698
8.4	8.4	71.02090349
8.6	8.6	74.63661606
8.8	8.8	78.20960114
9	9	81.68424721
9.2	9.2	85.06363352
9.4	9.4	88.40952044
9.6	9.6	91.82194196
9.8	9.8	95.40548313
10	10	99.23397363
