0.1	0.100998334
0.2	0.207946773
0.3	0.326596819
0.4	0.462306935
0.5	0.619856385
0.6	0.80327129
0.7	1.015666667
0.8	1.259107898
0.9	1.534494797
1	1.841470985
1.1	2.178360906
1.2	2.542136284
1.3	2.928413333
1.4	3.331481471
1.5	3.74436372
1.6	4.158908424
1.7	4.565911302
1.8	4.955266324
1.9	5.316143317
2	5.637189707
2.1	5.906753307
2.2	6.113122594
2.3	6.244780572
2.4	6.29066792
2.5	6.240450901
2.6	6.084789274
2.7	5.815599327
2.8	5.426307097
2.9	4.912086859
3	4.270080073
3.1	3.499590166
3.2	2.602248771
3.3	1.582149391
3.4	0.445944861
3.5	-0.797094539
3.6	-2.135064945
3.7	-3.553456769
3.8	-5.035227945
3.9	-6.560923281
4	-8.108839925
4.1	-9.655238237
4.2	-11.17459663
4.3	-12.63990817
4.4	-14.02301615
4.5	-15.29498488
4.6	-16.42650164
4.7	-17.38830476
4.8	-18.15163259
4.9	-18.68868723
5	-18.97310687
5.1	-18.98043989
5.2	-18.68861389
5.3	-18.07839245
5.4	-17.13381246
5.5	-15.84259485
5.6	-14.19652176
5.7	-12.19177328
5.8	-9.829217315
5.9	-7.114646703
6	-4.058957935
6.1	-0.678266784
6.2	3.006043356
6.3	6.96734371
6.4	11.17385543
6.5	15.5888195
6.6	20.17074179
6.7	24.87371294
6.8	29.64780136
6.9	34.43951718
7	39.19234334
7.1	43.84732931
7.2	48.34374206
7.3	52.61976751
7.4	56.61325533
7.5	60.26249869
7.6	63.50704026
7.7	66.28849459
7.8	68.55137713
7.9	70.24392914
8	71.31892778
